start,end,path
Brain,Telephone,"['Brain', 'Information', 'Telecommunication', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Culture', 'Folklore', 'Culture', 'Clothing', 'Animal_rights', 'Ape', 'Animal', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Jupiter', 'Helium', 'Moon', 'Europe', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Pottery', 'Talc', 'Rice', 'Sorghum', 'Soybean', 'Bean']"
Batman,Wood,"['Batman', 'Prehistoric_man', 'Axe', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Theropoda', 'Animal', 'Vertebrate', 'Tiger_shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Prehistoric_man', 'Ancient_history', 'Germany', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Cereal', 'Harvest', 'Energy', 'Sunlight', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Bat', 'Flower', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Genetics', 'Bioinformatics', 'Computer_science', 'Computer']"
Cat,Microsoft,"['Cat', 'Animal', 'Fish', 'Silurian', 'Latin', 'English_language', 'British_English', 'American_English', 'Wall_Street', 'Business', 'Corporation', 'Technology', 'Computer_science', 'Computer_programming', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Cat', 'Animal', 'Fungus', 'Medicine', 'Technology', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Computer', 'Internet', 'Google']"
Dog,Venus,"['Dog', 'Vertebrate', 'Tibet', 'Sun_Tzu', 'Chinese_language', 'Latin', 'Vulgar_Latin', 'Roman_mythology', 'Venus']"
Computer,Fruit,"['Computer', 'Abacus', 'Latin', 'Pompeii', 'Barley', 'Borage', 'Celery', 'Lemon_balm', 'Lemon', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Aluminium', 'Fish', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Bat', 'Mammal', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'Fiberglass', 'Steel', 'Space_station', 'Pluto']"
England,God,"['England', 'Economy_of_Scotland', 'United_Kingdom', 'Henry_Moore', 'Michelangelo', 'Sermon_on_the_Mount', 'Christianity', 'God']"
Batman,Bible,"['Batman', 'Christian_Bale', 'William_Shakespeare', 'Latin', 'Holy_Roman_Empire', 'Christianity', 'Bible']"
Art,Mango,"['Art', 'Kitsch', 'Fashion', 'India', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Plant', 'Earth', 'Human', 'War', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Bertrand_Russell', 'Bob_Dylan', 'The_Beatles', 'Beatles_for_Sale', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'Pompeii', 'Santorini', 'Continental_crust', 'Atlantic_Ocean', 'Pacific_Ocean', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Renaissance', 'Raphael', 'Gold', 'Color', 'Rainbow']"
Electricity,God,"['Electricity', 'James_Clerk_Maxwell', 'Scottish_Episcopal_Church', 'Bible', 'Names_of_God_in_Judaism', 'God']"
Calculus,Lemon,"['Calculus', 'Sphere', 'Geometry', 'Latin', 'Bologna', 'Cooperative', 'Palm_oil', 'Essential_oil', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'Franks', 'Vietnam_War', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Semiconductor', 'Periodic_table', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Popular_culture', 'Literacy', 'Vowel', 'Latin', 'Vowel', 'Latin', 'Vowel', 'Alphabet', 'Language', 'Genetics', 'Lipid', 'Vitamin', 'Vitamin_D']"
George_W._Bush,Monkey,"['George_W._Bush', 'Sub-Saharan_Africa', 'Gorilla', 'Ape', 'Monkey']"
China,Moon,"['China', 'Moon_landing', 'Moon']"
Africa,England,"['Africa', 'United_Kingdom', 'Great_Britain', 'England']"
Batman,Peanut,"['Batman', 'Popular_culture', 'Technology', 'Cheese', 'Almond', 'Peanut']"
Batman,Coconut_crab,
Computer,Russia,"['Computer', 'Switzerland', 'Russia']"
Cat,Adolf_Hitler,"['Cat', 'Germany', 'Adolf_Hitler']"
Manchester,Water,"['Manchester', 'Irish_Sea', 'Sea', 'Water']"
Achilles_tendon,Ivory,"['Achilles_tendon', 'Latin', 'Great_Britain', 'White_cliffs_of_Dover', 'England', 'Mammoth', 'Ivory']"
Batman,Japan,"['Batman', 'Popular_culture', 'Asia', 'Japan']"
Cat,University,"['Cat', 'Hungary', 'Cornell_University', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'Princeton_University', 'University_of_Chicago', 'University']"
